user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UTPRO2;s__UTPRO2 sp002066955	GCA_002066955.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UTPRO2;s__UTPRO2 sp002066955	97.81	0.72	GCA_002066955.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UTPRO2;s__UTPRO2 sp002066955	97.81	0.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UTPRO2;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003105015.1, s__UTPRO2 sp003105015, 95.0, 87.68, 0.81; GCA_002840845.1, s__UTPRO2 sp002840845, 95.0, 83.49, 0.69	78.1	11	N/A	N/A
bin.10	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.76	11	0.7589213898427288	N/A
bin.11	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA7227;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__;s__	taxonomic novelty determined using RED	N/A	N/A	90.08	11	0.9352250844046786	N/A
bin.12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylosarcina;s__Methylosarcina fibrata	GCF_000372865.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylosarcina;s__Methylosarcina fibrata	99.03	0.96	GCF_000372865.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylosarcina;s__Methylosarcina fibrata	99.03	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	81.33	11	N/A	N/A
bin.13	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__	ANI	N/A	GCA_003577395.1, s__UBA12294 sp003577395, 95.0, 81.44, 0.58; GCA_002050275.1, s__UBA12294 sp002050275, 95.0, 81.01, 0.43; GCA_002418205.1, s__UBA12294 sp002418205, 95.0, 77.53, 0.3; GCA_003484265.1, s__UBA12294 sp003484265, 95.0, 76.98, 0.22	83.87	11	0.9608544974331338	N/A
bin.14	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__Nitrospira_A sp001567445	GCA_001567445.1	95.0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__Nitrospira_A sp001567445	99.76	0.93	GCA_001567445.1	95.0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__Nitrospira_A sp001567445	99.76	0.93	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900696505.1, s__Nitrospira_A sp900696505, 95.0, 78.76, 0.3; GCF_000196815.1, s__Nitrospira_A defluvii, 95.0, 78.45, 0.39; GCA_003456605.1, s__Nitrospira_A sp003456605, 95.0, 78.41, 0.32; GCF_900170025.1, s__Nitrospira_A sp900170025, 95.0, 78.27, 0.4	95.52	11	N/A	N/A
bin.15	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sapporoensis	GCF_001753675.2	95.0	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sapporoensis	99.32	0.93	GCF_001753675.2	95.0	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sapporoensis	99.32	0.93	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000987375.1, s__Brocadia fulgida, 95.0, 80.21, 0.65; GCA_002009475.1, s__Brocadia caroliniensis, 95.0, 79.65, 0.65; GCF_000949635.1, s__Brocadia sinica, 95.0, 78.1, 0.47	73.23	11	N/A	N/A
bin.16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	ANI	N/A	GCA_002342985.1, s__PHOS-HE28 sp002342985, 95.0, 80.42, 0.42; GCA_002360495.1, s__PHOS-HE28 sp002360495, 95.0, 79.15, 0.28; GCA_002482775.1, s__PHOS-HE28 sp002482775, 95.0, 78.5, 0.32; GCA_002396605.1, s__PHOS-HE28 sp002396605, 95.0, 78.12, 0.34	97.78	11	0.9167934538540596	N/A
bin.17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_900167395.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	80.86	0.75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003201195.1, s__Nitrosomonas eutropha, 95.0, 78.45, 0.52; GCF_900116685.1, s__Nitrosomonas eutropha_A, 95.0, 78.42, 0.54; GCA_006742785.1, s__Nitrosomonas stercoris, 95.0, 77.03, 0.22; GCF_900103035.1, s__Nitrosomonas mobilis, 95.0, 76.59, 0.12; GCA_002083395.1, s__Nitrosomonas sp002083395, 95.0, 76.58, 0.04; GCF_900107165.1, s__Nitrosomonas halophila, 95.0, 76.29, 0.17; GCF_003046585.1, s__Nitrosomonas aestuarii, 95.0, 76.15, 0.05; GCF_900108305.1, s__Nitrosomonas ureae_B, 95.0, 76.11, 0.05; GCF_003268955.1, s__Nitrosomonas sp003268955, 95.0, 76.07, 0.04; GCF_004345375.1, s__Nitrosomonas sp004345375, 95.0, 76.04, 0.06; GCF_000175095.2, s__Nitrosomonas sp000175095, 95.0, 76.03, 0.06; GCF_900107265.1, s__Nitrosomonas sp900107265, 95.0, 76.0, 0.07; GCF_001455205.1, s__Nitrosomonas ureae, 95.0, 75.99, 0.05; GCA_002435335.1, s__Nitrosomonas sp002435335, 95.0, 75.97, 0.02; GCF_003011925.2, s__Nitrosomonas sp003011925, 95.0, 75.96, 0.06; GCF_001007935.1, s__Nitrosomonas communis, 95.0, 75.96, 0.08; GCF_900143275.1, s__Nitrosomonas cryotolerans, 95.0, 75.92, 0.05; GCA_900696615.1, s__Nitrosomonas sp900696615, 95.0, 75.9, 0.03; GCF_003046215.1, s__Nitrosomonas sp003046215, 95.0, 75.89, 0.06; GCF_900100485.1, s__Nitrosomonas sp900100485, 95.0, 75.89, 0.06; GCF_900110145.1, s__Nitrosomonas marina, 95.0, 75.88, 0.04; GCF_900113925.1, s__Nitrosomonas sp900113925, 95.0, 75.86, 0.07; GCF_003051105.1, s__Nitrosomonas nitrosa, 95.0, 75.86, 0.05; GCF_000219585.1, s__Nitrosomonas sp000219585, 95.0, 75.86, 0.05; GCF_900106555.1, s__Nitrosomonas oligotropha, 95.0, 75.78, 0.06; GCA_002083595.1, s__Nitrosomonas sp002083595, 95.0, 75.78, 0.05; GCF_003201565.1, s__Nitrosomonas sp003201565, 95.0, 75.75, 0.06; GCF_900111605.1, s__Nitrosomonas marina_A, 95.0, 75.74, 0.03; GCF_900111165.1, s__Nitrosomonas sp900111165, 95.0, 75.73, 0.04; GCA_003514765.1, s__Nitrosomonas sp003514765, 95.0, 75.72, 0.03; GCA_005779435.1, s__Nitrosomonas sp005779435, 95.0, 75.69, 0.02; GCF_900114745.1, s__Nitrosomonas communis_A, 95.0, 75.64, 0.06; GCF_900112825.1, s__Nitrosomonas sp900112825, 95.0, 75.52, 0.05	74.5	11	0.97574556546259	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_002632325.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella_A;s__Dokdonella_A sp002632325	81.65	0.67	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_004342425.1, s__Dokdonella_A fugitiva, 95.0, 81.11, 0.66; GCA_004143945.1, s__Dokdonella_A sp004143945, 95.0, 80.51, 0.61; GCA_002297645.1, s__Dokdonella_A sp002297645, 95.0, 80.25, 0.54; GCA_003142815.1, s__Dokdonella_A sp003142815, 95.0, 78.84, 0.45	87.32	11	0.9675278264735669	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
